DAY_TYPE,TIME_PER_HOUR,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
WEEKDAY,18,Sengkang,Punggol,7709
WEEKDAY,18,Punggol,Sengkang,6474
WEEKDAY,19,Sengkang,Punggol,6104
WEEKDAY,17,Punggol,Sengkang,5968
WEEKDAY,17,Sengkang,Punggol,5839
WEEKDAY,15,Sengkang,Punggol,5712
WEEKDAY,19,Punggol,Sengkang,5618
WEEKDAY,16,Punggol,Sengkang,5616
WEEKDAY,14,Sengkang,Punggol,5560
WEEKDAY,16,Sengkang,Punggol,5533
WEEKDAY,15,Punggol,Sengkang,5399
WEEKDAY,14,Punggol,Sengkang,5227
WEEKDAY,13,Sengkang,Punggol,4995
WEEKDAY,13,Punggol,Sengkang,4789
WEEKDAY,7,Punggol,Sengkang,4764
WEEKDAY,12,Little India,Farrer Park,4656
WEEKDAY,18,Boon Keng,Sengkang,4614
WEEKDAY,12,Punggol,Sengkang,4529
WEEKDAY,12,Sengkang,Punggol,4493
WEEKDAY,7,Sengkang,Outram Park,4421
WEEKDAY,7,Hougang,Outram Park,4349
WEEKDAY,18,Boon Keng,Hougang,4314
WEEKDAY,12,Little India,Dhoby Ghaut,4310
WEEKDAY,18,Hougang,Punggol,4247
WEEKDAY,7,Punggol,Hougang,4218
WEEKDAY,20,Punggol,Sengkang,4209
WEEKDAY,7,Serangoon,Outram Park,4154
WEEKDAY,8,Hougang,Clarke Quay,4131
WEEKDAY,11,Sengkang,Punggol,4008
WEEKDAY,18,Boon Keng,Serangoon,3935
WEEKDAY,20,Sengkang,Punggol,3871
WEEKDAY,18,Dhoby Ghaut,Sengkang,3855
WEEKDAY,18,Outram Park,Sengkang,3821
WEEKDAY,7,Sengkang,Punggol,3808
WEEKDAY,18,Chinatown,Hougang,3794
WEEKDAY,13,Farrer Park,Little India,3777
WEEKDAY,18,HarbourFront,Sengkang,3742
WEEKDAY,18,Chinatown,Sengkang,3737
WEEKDAY,7,Sengkang,Hougang,3730
WEEKDAY,8,Sengkang,Clarke Quay,3705
WEEKDAY,18,Chinatown,Serangoon,3701
WEEKDAY,7,Punggol,Outram Park,3699
WEEKDAY,8,Serangoon,Clarke Quay,3685
WEEKDAY,18,Outram Park,Hougang,3652
WEEKDAY,7,Sengkang,Boon Keng,3642
WEEKDAY,21,Punggol,Sengkang,3640
WEEKDAY,18,Little India,Sengkang,3599
WEEKDAY,7,Sengkang,Potong Pasir,3590
WEEKDAY,18,Serangoon,Sengkang,3588
WEEKDAY,12,Boon Keng,Farrer Park,3568
WEEKDAY,8,Hougang,Chinatown,3546
WEEKDAY,7,Hougang,Potong Pasir,3537
WEEKDAY,8,Hougang,Boon Keng,3510
WEEKDAY,11,Punggol,Sengkang,3472
WEEKDAY,18,Boon Keng,Farrer Park,3470
WEEKDAY,18,Clarke Quay,Sengkang,3469
WEEKDAY,8,Sengkang,Boon Keng,3430
WEEKDAY,8,Serangoon,Outram Park,3429
WEEKDAY,8,Serangoon,Chinatown,3397
WEEKDAY,6,Punggol,Sengkang,3390
WEEKDAY,17,Boon Keng,Sengkang,3382
WEEKDAY,12,Outram Park,Chinatown,3379
